SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
539151,ARFIN       ,X ,Q,80.00,84.85,80.00,84.85,84.85,80.00,2,110,8848.00,
539176,HAWAENG     ,XT,Q,29.00,29.00,29.00,29.00,29.00,29.00,1,20,580.00,
539177,AIIL        ,X ,Q,31.40,31.40,31.40,31.40,31.40,31.40,1,1,31.00,
539195,POEL        ,X ,Q,35.70,35.70,30.05,30.45,30.05,29.95,26,1768,56206.00,
539196,AEL         ,X ,Q,10.80,10.80,10.80,10.80,10.80,9.00,1,10,108.00,
539199,MOONGIPASEC ,XT,Q,2.85,2.85,2.85,2.85,2.85,2.95,1,50,142.00,
539201,SATIA       ,B ,Q,660.35,664.00,650.00,650.00,650.00,668.60,10,458,302339.00,
539207,MANPASAND   ,A ,Q,29.00,30.00,28.55,28.55,28.55,30.05,427,63149,1827021.00,
539219,MUL         ,X ,Q,169.00,189.00,155.00,181.70,181.70,163.60,140,26069,4697625.00,
539221,SPORTKING   ,XT,Q,283.25,309.95,283.25,303.90,303.90,298.10,12,453,130082.00,
539223,AMBITION    ,B ,Q,11.63,11.63,10.55,11.23,10.55,11.08,3,400,4490.00,
539225,JIYAECO     ,B ,Q,57.20,58.60,54.50,55.85,55.85,57.20,817,230298,12897667.00,
539226,RUDRA       ,T ,Q,97.10,97.10,97.10,97.10,97.10,92.50,3,120,11652.00,
539228,GGPL        ,B ,Q,65.25,69.80,63.90,64.00,63.90,65.35,56,8859,572260.00,
539229,MRSS        ,M ,Q,8.95,8.95,8.95,8.95,8.95,8.78,4,2400,21480.00,
539235,GPL         ,XT,Q,373.00,373.00,370.00,370.00,370.00,374.00,3,70,26005.00,
539251,BALKRISHNA  ,B ,Q,21.95,21.95,21.10,21.95,21.95,20.50,11,1123,24418.00,
539252,SCFL        ,B ,Q,3.70,4.43,3.50,4.05,4.43,3.80,28,24801,98551.00,
539254,ADANITRANS  ,A ,Q,208.50,216.90,208.50,214.85,216.10,208.55,413,8403,1774645.00,
539255,STARDELTA   ,X ,Q,103.80,103.80,103.80,103.80,103.80,109.25,4,8,830.00,
539268,SYNGENE     ,A ,Q,306.20,313.80,301.00,309.60,308.00,314.15,661,7460,2305667.00,
539275,MSL         ,B ,Q,55.00,55.00,55.00,55.00,55.00,56.75,1,96,5280.00,
539276,KAYA        ,B ,Q,441.70,462.00,437.35,453.70,453.00,438.40,144,6634,2924974.00,
539278,SYMBIOX     ,XT,Q,0.51,0.54,0.50,0.54,0.54,0.52,12,14249,7144.00,
539287,ORTINLAABS  ,T ,Q,11.50,11.50,10.79,11.45,11.45,11.35,7,762,8340.00,
539289,MJCO        ,B ,Q,485.00,504.00,479.40,482.90,485.00,485.75,116,1219,595627.00,
539290,BINDALAGRO  ,B ,Q,11.40,12.00,11.30,11.87,11.89,11.44,25,4641,54112.00,
539300,AKSPINTEX   ,X ,Q,18.05,18.05,18.05,18.05,18.05,19.00,2,11,198.00,
539301,ARVSMART    ,B ,Q,94.00,94.20,90.00,92.90,93.75,91.90,55,1204,110290.00,
539302,POWERMECH   ,B ,Q,932.00,936.15,903.35,911.75,903.35,924.10,79,1933,1791979.00,
539309,RAMASTEEL   ,B ,Q,57.10,57.10,52.40,53.30,52.40,54.95,18,1150,61881.00,
539310,TISL        ,B ,Q,2.68,2.80,2.38,2.68,2.70,2.62,126,1816658,4839151.00,
539312,UTISENSETF  ,B ,Q,402.00,403.00,402.00,402.00,402.00,400.00,3,38,15277.00,
539331,VETO        ,B ,Q,70.90,70.90,67.95,68.30,68.40,71.30,45,1616,111226.00,
539332,NAVKARCORP  ,A ,Q,21.00,21.15,18.25,19.90,19.90,21.45,266,178548,3555679.00,
539334,SHREEPUSHK  ,B ,Q,88.05,90.45,86.85,87.35,88.90,89.55,492,12718,1132926.00,
539336,GUJGAS      ,A ,Q,166.80,166.80,161.00,161.70,162.00,164.20,245,4700,765873.00,
539346,SADBHIN     ,B ,Q,77.20,80.00,71.50,75.00,76.10,68.05,313,14634,1128361.00,
539351,PRABHAT     ,B ,Q,66.40,68.90,66.40,68.50,68.00,65.95,34,4070,277539.00,
539353,SALAUTO     ,X ,Q,177.00,180.00,165.50,165.60,165.60,177.00,8,346,61895.00,
539354,POLYSPIN    ,X ,Q,80.40,90.00,80.35,90.00,90.00,85.00,18,1091,95155.00,
539359,PRITIKAUTO  ,X ,Q,93.25,93.25,85.25,88.20,89.95,92.45,19,1578,142508.00,
539398,VISHALBL    ,M ,Q,26.20,27.00,26.20,27.00,27.00,32.75,2,6750,179550.00,
539399,BELLACASA   ,T ,Q,133.00,140.00,133.00,140.00,140.00,139.50,2,107,14238.00,
539404,SATIN       ,B ,Q,268.70,268.70,254.90,261.70,260.30,268.10,165,1239,319232.00,
539407,GENCON      ,X ,Q,90.00,90.00,81.05,87.95,88.00,89.35,35,3020,266116.00,
539410,WELCON      ,X ,Q,4.80,5.04,4.80,5.00,5.00,4.80,12,6422,30885.00,
539428,TEJNAKSH    ,T ,Q,76.00,76.00,76.00,76.00,76.00,79.90,1,50,3800.00,
539436,COFFEEDAY   ,A ,Q,195.65,197.40,194.60,195.20,195.60,196.95,139,3776,738965.00,
539437,IDFCFIRSTB  ,A ,Q,36.85,40.30,36.15,39.00,39.00,37.65,8211,3767618,145089637.00,
539447,BEARDSELL   ,B ,Q,13.25,14.50,13.25,14.50,14.50,13.50,3,100,1387.00,
539448,INDIGO      ,A ,Q,1604.00,1623.85,1575.10,1586.90,1586.90,1594.45,6391,168846,269150362.00,
539450,SHK         ,B ,Q,129.00,129.00,125.90,126.35,126.45,129.15,51,627,79305.00,
539469,PANORAMA    ,X ,Q,25.55,25.55,25.55,25.55,25.55,26.05,1,1,25.00,
539487,LICNETFSEN  ,B ,Q,465.00,466.00,465.00,465.00,465.00,460.75,3,4,1861.00,
539515,GMLM        ,XT,Q,121.15,121.15,121.15,121.15,121.15,123.60,7,601,72811.00,
539516,HDFCNIFETF  ,B ,Q,1214.00,1215.00,1175.00,1175.00,1175.00,1180.00,5,12,14324.00,
539517,SXETF       ,B ,Q,4018.09,4018.09,3988.76,3988.76,3988.76,3984.00,40,8041,32197640.00,
539520,SHAILJA     ,X ,Q,7.13,7.86,7.13,7.76,7.85,7.49,16,2572,19807.00,
539523,ALKEM       ,A ,Q,1790.35,1824.45,1780.00,1809.80,1809.80,1768.05,273,864,1558984.00,
539524,LALPATHLAB  ,A ,Q,1094.50,1161.45,1094.50,1148.40,1157.15,1086.55,392,2012,2285823.00,
539526,SCTL        ,M ,Q,26.50,26.50,26.50,26.50,26.50,27.00,1,4000,106000.00,
539528,AAYUSH      ,X ,Q,16.30,16.30,16.30,16.30,16.30,16.30,2,322,5248.00,
539542,LUXIND      ,A ,Q,1081.70,1109.30,1061.30,1104.10,1097.00,1085.65,51,990,1081161.00,
539544,ABHIINFRA   ,XT,Q,3.75,3.92,3.75,3.75,3.75,3.75,4,670,2561.00,
539545,APOORVA     ,X ,Q,19.45,19.50,19.45,19.45,19.50,19.50,4,1285,24993.00,
539551,NH          ,B ,Q,224.15,224.15,220.15,223.60,223.60,220.15,14,245,54032.00,
539594,MISHTANN    ,X ,Q,29.70,30.65,29.45,30.35,30.60,30.05,48,6332,191477.00,
539597,JSLHISAR    ,A ,Q,69.20,69.90,68.00,69.00,68.65,69.70,151,11502,793198.00,
539621,BCLENTERPR  ,XT,Q,20.15,20.15,20.15,20.15,20.15,21.20,1,1,20.00,
